"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"NY.ADJ.DMIN.GN.ZS","Épargne rajustée : épuisement des minéraux (% du RNB)","L'épuisement des minerais correspond au rapport de la valeur du stock des ressources minérales sur la durée d'exploitation des ressources restantes (plafonnée à 25 ans).  Il concerne l'étain, l'or, le plomb, le zinc, le fer, le cuivre, le nickel, l'argent, la bauxite et le phosphate.  ","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.DMIN.CD","Épargne rajustée : épuisement des minéraux (US $ courants)","L'épuisement des minerais correspond au rapport de la valeur du stock des ressources minérales sur la durée d'exploitation des ressources restantes (plafonnée à 25 ans).  Il concerne l'étain, l'or, le plomb, le zinc, le fer, le cuivre, le nickel, l'argent, la bauxite et le phosphate.  ","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.DKAP.GN.ZS","Épargne rajustée : consommation de capital fixe (% du RNB)","La consommation de capital immobilisé représente la valeur de remplacement de capitaux utilisés dans le processus de production.","Estimations du personnel de la Banque mondiale au moyen des statistiques de la division des statistiques sur les comptes nationaux de l’ONU.",
"NY.ADJ.DKAP.CD","Épargne rajustée : consommation de capital immobilisé (US $ courants)","La consommation de capital immobilisé représente la valeur de remplacement de capitaux utilisés dans le processus de production.","Estimations du personnel de la Banque mondiale au moyen des statistiques de la division des statistiques sur les comptes nationaux de l’ONU.",
"NY.ADJ.DFOR.GN.ZS","Épargne rajustée : épuisement net des forêts (% du RNB)","L'épuisement net des forêts est calculé comme étant le produit des bénéfices tirés de l'exploitation des ressources et de l'excès de bois rond récolté au cours de la croissance naturelle.","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.DFOR.CD","Épargne rajustée : épuisement net des forêts (US $ courants)","L'épuisement net des forêts est calculé comme étant le produit des bénéfices tirés de l'exploitation des ressources et de l'excès de bois rond récolté au cours de la croissance naturelle.","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.DCO2.GN.ZS","Épargne rajustée : dommages causés par le dioxyde de carbone (% du RNB)","Les dommages causés par le dioxyde de carbone sont estimés à 20 dollars par tonne de carbone (l'unité de dommage en dollars américains de 1995) fois le nombre de tonnes de carbone émises.","estimations du personnel de la Banque mondiale basées sur le rapport de Samuel Fankhauser intitulé "" Valuing Climate Change: The Economics of the Greenhouse "" (Chiffrer le changement climatique : l'économie des gaz à effet de serre), publié en 1995.",
"NY.ADJ.DCO2.CD","Épargne rajustée : dommages causés par le gaz carbonique (US $ courants)","Les dommages causés par le dioxyde de carbone sont estimés à 20 dollars par tonne de carbone (l'unité de dommage en dollars américains de 1995) fois le nombre de tonnes de carbone émises.","estimations du personnel de la Banque mondiale basées sur le rapport de Samuel Fankhauser intitulé "" Valuing Climate Change: The Economics of the Greenhouse "" (Chiffrer le changement climatique : l'économie des gaz à effet de serre), publié en 1995.",
"NY.ADJ.AEDU.GN.ZS","Épargne rajustée : dépenses en éducation (% du RNB)","Les dépenses en éducation correspondent aux dépenses courantes d'exploitation en éducation, notamment les paies et salaires, mais ne tiennent pas compte des investissements en capital dans les édifices et équipements.","Estimations du personnel de la Banque mondiale au moyen de données provenant de l’annuaire de statistiques de la division des statistiques de l’ONU et de la base de données en ligne de l’Institut des statistiques de l’UNESCO.",
"NY.ADJ.AEDU.CD","Épargne rajustée : dépenses d’éducation (US $ courants)","Les dépenses en éducation correspondent aux dépenses courantes d'exploitation en éducation, notamment les paies et salaires, mais ne tiennent pas compte des investissements en capital dans les édifices et équipements.","Estimations du personnel de la Banque mondiale au moyen de données provenant de l’annuaire de statistiques de la division des statistiques de l’ONU et de la base de données en ligne de l’Institut des statistiques de l’UNESCO.",
"ER.PTD.TOTL.ZS","Zones terrestres et marines protégées (% du territoire total)","Les aires naturelles protégées à l’échelle nationale sont les zones en partie ou entièrement protégées d’au moins 1 000 hectares qui sont désignées comme des réserves scientifiques à accès public limité, comme des parcs nationaux, des monuments nationaux, des réserves naturelles ou des refuges fauniques, des paysages terrestres protégés et des aires gérées principalement pour en assurer une utilisation durable. Les zones marines protégées sont des zones de terrain intertidal ou subtidal (ainsi que l'eau surjacente, la faune et la flore qui y est liée et les caractéristiques historiques et culturelles) qui ont été réservées par la loi ou par d'autres moyens pour protéger tout ou partie de l'environnement fermé. Sont exclus les sites protégés par les lois locales ou provinciales.","Données du Programme des Nations Unies pour l’environnement et du Centre mondial de surveillance de la conservation telles que compilées par le World Resources Institute, et basées sur les données fournies par les autorités nationales, les lois nationales et les accords internationaux.",
"ER.MRN.PTMR.ZS","Zones marines protégées (% des eaux du territoire)","Les zones marines protégées sont des zones de terrain intertidal ou subtidal (ainsi que l'eau surjacente, la faune et la flore qui y est liée et les caractéristiques historiques et culturelles) qui ont été réservées par la loi ou par d'autres moyens pour protéger tout ou partie de l'environnement fermé.","Données du Programme des Nations Unies pour l’environnement et du Centre mondial de surveillance de la conservation telles que compilées par le World Resources Institute, et basées sur les données fournies par les autorités nationales, les lois nationales et les accords internationaux.",
"ER.LND.PTLD.ZS","Zones protégées à l'échelle nationale (% du territoire total)","Les aires naturelles protégées à l’échelle nationale sont des zones protégées en partie ou entièrement et d’au moins 1000 hectares qui sont désignées comme des réserves scientifiques à accès public limité, comme les parcs nationaux, les monuments nationaux, les réserves naturelles ou les refuges fauniques, les paysages terrestres protégés et des aires gérées principalement pour en assurer une utilisation durable. Les zones marines, les zones non classifiées, les zones littorales (intertidales) et les sites protégés par des lois locales ou provinciales sont exclus.","Données du Programme des Nations Unies pour l’environnement et du Centre mondial de surveillance de la conservation telles que compilées par le World Resources Institute, et basées sur les données fournies par les autorités nationales, les lois nationales et les accords internationaux.",
"ER.H2O.INTR.PC","Ressources renouvelables d’eau douce intérieures par habitant (mètres cubes)","Les flux de ressources renouvelables intérieures en eau douce font référence aux ressources intérieures (flux des rivières intérieures et eaux souterraines de pluie) du pays.  Les ressources renouvelables en eau douce par habitant sont calculées au moyen des estimations de la population de la Banque mondiale.","Organisation des Nations Unies pour l'alimentation et l'agriculture et données d’AQUASTAT.",
"ER.H2O.INTR.K3","Ressources renouvelables d’eau douce intérieures, total (milliards de mètres cubes)","Les flux de ressources renouvelables intérieures en eau douce font référence aux ressources intérieures (flux des rivières intérieures et eaux souterraines de pluie) du pays.","Organisation des Nations Unies pour l'alimentation et l'agriculture et données d’AQUASTAT.",
"ER.H2O.FWTL.ZS","Retraits annuels d’eau douce, total (% des ressources internes)","Les retraits annuels d'eau douce désignent les retraits totaux d'eau douce, sans tenir compte des pertes d'évaporation des bassins d'accumulation. Les retraits comprennent également l'eau des usines de dessalement dans les pays où ils sont une source d'eau importante. Le total des retraits peut être supérieur à 100 % des ressources naturelles renouvelables lorsque l'extraction à partir d'aquifères non renouvelables ou d'usines de dessalement sont considérables ou lorsque la réutilisation de l'eau est importante. Les retraits pour l'agriculture et l'industrie sont les retraits totaux pour l'irrigation et la production animale ainsi que pour une utilisation industrielle directe (y compris les retraits pour refroidir les centrales thermoélectriques). Les retraits pour usage domestique comprennent l'eau potable, l'utilisation ou l'approvisionnement des ménages et l'utilisation d'eau par les services publics, les établissements commerciaux et les foyers. Les données sont fournies pour la plus récente année disponible pour la période allant de 1987 à 2002.","Organisation des Nations Unies pour l'alimentation et l'agriculture et données d’AQUASTAT.",
"ER.H2O.FWTL.K3","Retraits annuels d’eau douce, total (milliards de mètres cubes)","Les retraits annuels d'eau douce désignent les retraits totaux d'eau douce, sans tenir compte des pertes d'évaporation des bassins d'accumulation. Les retraits comprennent également l'eau des usines de dessalement dans les pays où ils sont une source d'eau importante. Le total des retraits peut être supérieur à 100 % des ressources naturelles renouvelables lorsque l'extraction à partir d'aquifères non renouvelables ou d'usines de dessalement sont considérables ou lorsque la réutilisation de l'eau est importante. Les retraits pour l'agriculture et l'industrie sont les retraits totaux pour l'irrigation et la production animale ainsi que pour une utilisation industrielle directe (y compris les retraits pour refroidir les centrales thermoélectriques). Les retraits pour usage domestique comprennent l'eau potable, l'utilisation ou l'approvisionnement des ménages et l'utilisation d'eau par les services publics, les établissements commerciaux et les foyers. Les données sont fournies pour la plus récente année disponible pour la période allant de 1987 à 2002.","Organisation des Nations Unies pour l'alimentation et l'agriculture et données d’AQUASTAT.",
"ER.H2O.FWIN.ZS","Retraits annuels d’eau douce pour l’industrie (% des retraits totaux d’eau douce)","Les retraits annuels d'eau douce désignent les retraits totaux d'eau douce, sans tenir compte des pertes d'évaporation des bassins d'accumulation. Les retraits comprennent également l'eau des usines de dessalement dans les pays où ils sont une source d'eau importante. Le total des retraits peut être supérieur à 100 % des ressources naturelles renouvelables lorsque l'extraction à partir d'aquifères non renouvelables ou d'usines de dessalement sont considérables ou lorsque la réutilisation de l'eau est importante. Les retraits pour l'industrie sont les retraits totaux pour utilisation industrielle directe (y compris les retraits pour refroidir les centrales thermoélectriques). Les données sont fournies pour la plus récente année disponible pour la période allant de 1987 à 2002.","Organisation des Nations Unies pour l'alimentation et l'agriculture et données d’AQUASTAT.",
"ER.H2O.FWDM.ZS","Retraits annuels d’eau douce pour usage domestique (% des retraits totaux d’eau douce)","Les retraits annuels d'eau douce désignent les retraits totaux d'eau douce, sans tenir compte des pertes d'évaporation des bassins d'accumulation. Les retraits comprennent également l'eau des usines de dessalement dans les pays où ils sont une source d'eau importante. Le total des retraits peut être supérieur à 100 % des ressources naturelles renouvelables lorsque l'extraction à partir d'aquifères non renouvelables ou d'usines de dessalement sont considérables ou lorsque la réutilisation de l'eau est importante. Les retraits pour usage domestique comprennent l'eau potable, l'utilisation ou l'approvisionnement des ménages et l'utilisation d'eau par les services publics, les établissements commerciaux et les foyers. Les données sont fournies pour la plus récente année disponible pour la période allant de 1987 à 2002.","Organisation des Nations Unies pour l'alimentation et l'agriculture et données d’AQUASTAT.",
"ER.H2O.FWAG.ZS","Retraits annuels d’eau douce pour l’agriculture (% des retraits totaux d’eau douce)","Les retraits annuels d'eau douce désignent les retraits totaux d'eau douce, sans tenir compte des pertes d'évaporation des bassins d'accumulation. Les retraits comprennent également l'eau des usines de dessalement dans les pays où ils sont une source d'eau importante. Le total des retraits peut être supérieur à 100 % des ressources naturelles renouvelables lorsque l'extraction à partir d'aquifères non renouvelables ou d'usines de dessalement sont considérables ou lorsque la réutilisation de l'eau est importante. Les retraits pour l'agriculture sont les retraits totaux d'eau pour l'irrigation et la production animale. Les données sont fournies pour la plus récente année disponible pour la période allant de 1987 à 2002.","Organisation des Nations Unies pour l'alimentation et l'agriculture et données d’AQUASTAT.",
"ER.GDP.FWTL.M3.KD","Productivité de l'eau, total (PIB en dollars US constants 2010 par mètre cube du total des prélèvements d'eau douce)","La productivité de l'eau est calculée en fonction du PIB en prix constants, divisé par le total annuel des prélèvements d'eau.","Organisation pour l'alimentation et l'agriculture, données AQUASTAT, et estimations du PIB de l'OCDE et de la Banque mondiale.",
"ER.FSH.PROD.MT","Production totale de la pêche (t)","Total fisheries production measures the volume of aquatic species caught by a country for all commercial, industrial, recreational and subsistence purposes. The harvest from mariculture, aquaculture and other kinds of fish farming is also included.","Organisation pour l'alimentation et l'agriculture.",
"ER.FSH.CAPT.MT","Production de la pêche de capture (t)","Capture fisheries production measures the volume of fish catches landed by a country for all commercial, industrial, recreational and subsistence purposes.","Organisation pour l'alimentation et l'agriculture.",
"ER.FSH.AQUA.MT","Production de l’aquaculture (t)","Aquaculture is understood to mean the farming of aquatic organisms including fish, molluscs, crustaceans and aquatic plants. Aquaculture production specifically refers to output from aquaculture activities, which are designated for final harvest for consumption.","Food and Agriculture Organization.",
"EN.POP.SLUM.UR.ZS","Population vivant dans des bidonvilles (% de population urbaine)","Population living in slums is the proportion of the urban population living in slum households. A slum household is defined as a group of individuals living under the same roof lacking one or more of the following conditions: access to improved water, access to improved sanitation, sufficient living area, and durability of housing.","ONU-Habitat, à partir des Indicateurs des objectifs du Millénaire pour le développement des Nations Unies (http://mdgs.un.org/).",
"EN.POP.EL5M.ZS","Population vivant sur des terres dont l’altitude est inférieure à 5 mètres (en % de la population totale)","La population habitant à une altitude inférieure à 5 mètres correspond au pourcentage de la population totale vivant dans des régions situées à une altitude de 5 mètres maximum.","Consortium du réseau international d'information sur les sciences de la Terre (CIESIN), série de données Place II.",
"EN.POP.EL5M.UR.ZS","Population urbaine vivant dans des zones dont l’altitude est < à 5 m (% de la pop. totale)","Urban population below 5m is the percentage of the total population, living in areas where the elevation is 5 meters or less.","Centre pour le Réseau international d'information sur les sciences de la terre (CIESIN) / Université de Columbia, 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, New York: Centre de données et d'applications socio-économiques (SEDAC) de la NASA. http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",
"EN.POP.EL5M.RU.ZS","Population rurale vivant dans des zones dont l’altitude est < à 5 m (% de la pop. totale)","Rural population below 5m is the percentage of the total population, living in areas where the elevation is 5 meters or less.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",
"EN.MAM.THRD.NO","Espèces mammifères menacées","Les espèces mammifères désignent l'ensemble des mammifères à l'exception des baleines et des marsouins. Les espèces menacées font référence au nombre d'espèces classées par l'Union Internationale pour la Conservation de la Nature (IUCN) comme étant en danger, vulnérables, rares, indéterminées, hors danger et pas suffisamment connues.","Programme des Nations Unies pour l'environnement et Centre mondial de surveillance de la conservation, et la liste rouge des espèces menacées de l’Union Internationale pour la Conservation de la Nature (IUCN).",
"EN.HPT.THRD.NO","Espèces végétales (à haut) menacées","Higher plants are native vascular plant species. Les espèces menacées font référence au nombre d'espèces classées par l'Union Internationale pour la Conservation de la Nature (IUCN) comme étant en danger, vulnérables, rares, indéterminées, hors danger et pas suffisamment connues.","Programme des Nations Unies pour l'environnement et Centre mondial de surveillance de la conservation, et la liste rouge des espèces menacées de l’Union Internationale pour la Conservation de la Nature (IUCN).",
"EN.FSH.THRD.NO","Espèces de poissons menacées","Les espèces de poissons sont basées sur la publication de Froese, R. et Pauly, D. (eds). 2008. Les espèces menacées font référence au nombre d'espèces classées par l'Union Internationale pour la Conservation de la Nature (IUCN) comme étant en danger, vulnérables, rares, indéterminées, hors danger et pas suffisamment connues.","Froese, R. et Pauly, D. (eds). 2008. Base de données FishBase, www.fishbase.org.",
"EN.CO2.TRAN.ZS","Émissions de CO2 attribuables au transport (% de la combustion totale de carburants)","Les émissions de CO2 attribuables au transport contiennent les émissions attribuables à la combustion de carburant de l’ensemble des activités de transport, indépendamment du secteur, à l’exception des soutes marines internationales et de l’aviation internationale. Inclut l’aviation domestique, la navigation domestique, le secteur routier, ferroviaire et du transport par gazoduc/oléoduc, et correspond à la Source GIEC/Catégorie de puits 1 A 3. Par ailleurs, les chiffres de l’AIE n’ont pas été recueillis de façon à permettre une répartition de la consommation des auto-producteurs en fonction des usages finaux, raison pour laquelle les auto-producteurs figurent dans un poste distinct (Auto-producteurs non affectés).","Statistiques AIE © OCDE/AIE, http://www.iea.org/stats/index.asp), fichiers électroniques de l’Agence Internationale de l’Énergie sur les émissions de CO2 attribuables à la combustion de carburants.",
"EN.CO2.OTHX.ZS","Émissions de CO2 attribuables à d’autres secteurs, hormis construction résidentielle et services commerciaux et publics (% de la combustion totale de carburants)","Les émissions de CO2 attribuables aux autres secteurs, hors construction résidentielle et services commerciaux et publics, contiennent les émissions attribuables aux activités commerciales/institutionnelles, au secteur résidentiel, à l’agriculture/la foresterie, la pêche et les autres émissions ne figurant nulle part ailleurs, reprises dans la Source GIEC/Catégories de puits 1 A 4 et 1 A 5. D’après les lignes directrices de 1996 du GIEC, la catégorie inclut également les émissions attribuables aux auto-producteurs des secteurs commerciaux/résidentiels/agricoles qui produisent de l’électricité et/ou de la chaleur. Les chiffres de l’AIE n’ont pas été recueillis de façon à permettre une répartition de la consommation d’énergie en fonction des usages finaux, raison pour laquelle les auto-producteurs figurent dans un poste distinct (Auto-producteurs non affectés).","Statistiques AIE © OCDE/AIE, http://www.iea.org/stats/index.asp), fichiers électroniques de l’Agence Internationale de l’Énergie sur les émissions de CO2 attribuables à la combustion de carburants.",
"EN.CO2.MANF.ZS","Émissions de CO2 attribuables aux industries manufacturières et à la construction (% de la combustion totale de carburants)","Les émissions de CO2 attribuables aux industries manufacturières et à la construction incluent les émissions attribuables à la combustion de carburants dans l’industrie. La Source GIEC/Catégorie de puits 1 A 2 inclut ces émissions. Cependant, d’après les lignes directrices de 1996 du GIEC, la catégorie GIEC inclut également les émissions attribuables aux auto-producteurs industriels qui produisent de l’électricité et/ou de la chaleur. Les chiffres de l’AIE n’ont pas été recueillis de façon à permettre une répartition de la consommation d’énergie en fonction des usages finaux, raison pour laquelle les auto-producteurs figurent dans un poste distinct (Auto-producteurs non affectés). Les industries manufacturières et la construction incluent également les émissions attribuables au coke qui alimente les hauts fourneaux, susceptibles de figurer dans le secteur de la transformation, le secteur de l’industrie ou la Source GIEC/Catégorie de puits, Processus industriels.","Statistiques AIE © OCDE/AIE, http://www.iea.org/stats/index.asp), fichiers électroniques de l’Agence Internationale de l’Énergie sur les émissions de CO2 attribuables à la combustion de carburants.",
